id;name/code;description;denominazione_nome_vino;denominazione_altre_info
se2t2g59;6 X BARBERA VIGNEVECCHIE  DOCG Superiore 2017 VINCHIO VAGLIO;"VIBBATVV17G1

6 X BARBERA VIGNEVECCHIE  DOCG Superiore 2017 VINCHIO VAGLIO
PRIX PAR BOUTEILLE Lt.0.75= 38.00 Chf 
6 x 38.00 = 228.00 chf

contient des sulfites
Alc 15% Vol      cl75


";Barbera ;VigneVecchie Superiore DOCG
4wunbncv;6 X BARBERA TREVESCOVI DOCG Superiore 2019 VINCHIOVAGLIO;"VIBATS19G1

6 X BARBERA TREVESCOVI DOCG Superiore 2019 VINCHIOVAGLIO
PRIX PAR BOUTEILLE Lt.0.75= 20.00 Chf 
6 x 20.00 =120.00 chf


contient des sulfites
Alc 14% Vol      cl75
PRODUCTEUR: VINCHIO VAGLIO SERRA

";Barbera ;TreVescovi Superiore DOCG
9gxjz7yx;6 X Castel del Mago - V.S. Extra Dry Rosè ;"VICAMRG1

6 X  Castel del Mago - V.S. Extra Dry Rosè 
PRIX PAR BOUTEILLE Lt. 0.75= 18.00 Chf 
6 x 18.00 = 108.00 chf


contient des sulfites
Alc 12,5% Vol      cl75
PRODUCTEUR  VINCHIO VAGLIO SERRA
";Castel Del Mago;Vino Spumante Extra Dry Rosè 
islqdpjv;GIN PREMIUM SMOKE BORDIGA;"BORGINS00G1

GIN PREMIUM SMOKE BORDIGA

Alc 42% Vol      cl 70
PRODUCTEUR BORDIGA";Gin Premium Smoke;
gz1j4ij7;6 X MOSCATO Asti piccole gioie DOCG 2020 Az. Ghione Anna, Canelli;"GHIMOP020G1

6 X MOSCATO Asti piccole gioie DOCG 2020 Az. Ghione Anna, Canelli
PRIX PAR BOUTEILLE Lt.0.75 = 23.00 Chf 
6 x 23.00 = 138.00 chf


contient des sulfites
Alc 6.5% Vol      cl75
PRODUCTEUR: ANNA GHIONE";Moscato d'Asti ;Piccole Gioie DOCG
wvu8zf88;GRAPPA NEBBIOLO DA BAROLO TOP VIEUX MOULIN;"VMGRAB00G1

GRAPPA NEBBIOLO DA BAROLO TOP VIEUX MOULIN

Alc 40% Vol      cl70
PRODUCTEUR VIEUX MOULIN";Grappa di Nebbiolo;da Barolo Top
kp7rsq7l;GRAPPA BAROLO   RISERVA 2003 VIEUX MOULIN;"VMGRABA0G1

GRAPPA BAROLO   RISERVA 2003 VIEUX MOULIN
Alc 46% Vol      cl70
PRODUCTEUR VIEUX MOULIN";Grappa di Barolo;Riserva 2003
qe5dbkgw;6 X GAVI del Comune di Gavi DOCG 2016, Raggio;"RAGAV16G1

6 X GAVI del Comune di Gavi DOCG 2016, Raggio
PESTICIDE FREE
PRIX PAR BOUTEILLE Lt.0.75= 22.00 Chf 
6 x 22.00 = 132.00 chf

contient des sulfites   
Alc 13% Vol      cl75
PRODUCTEUR: MARCHESI RAGGIO ";Gavi;del Comune di Gavi DOCG
utda9m7i;LEMONCELLO VIEUX MOULIN;"VMGRALEMG0

LEMONCELLO VIEUX MOULIN

Alc 28% Vol      cl 70
PRODUCTEUR VIEUX MOULIN";Limoncello;
by4848ln;GRAPPA MOSCATO ARMONIA 10ANNI VIEUX MOULIN;"VMGRAA0MG1

GRAPPA MOSCATO ARMONIA 10ANNI VIEUX MOULIN

Alc 43% Vol      cl70
PRODUCTEUR VIEUX MOULIN";Grappa di Moscato;Armonia 10 Anni
5h4zaw9g;GRAPPA BAROLO ARMONIA 10ANNI VIEUX MOULIN;"VMGRAA0BG1

GRAPPA BAROLO ARMONIA 10ANNI VIEUX MOULIN

Alc 43% Vol      cl70
PRODUCTEUR VIEUX MOULIN";Grappa di Barolo;Armonia 10 Anni
95s7nvrz;NOCINO 070 VIEUX MOULIN;"VMGRANOCG1

NOCINO 070 VIEUX MOULIN

Alc 30% Vol      cl 70
PRODUCTEUR VIEUX MOULIN";Nocino;
njnm68px;GRAPPA MOSCATO INVECCH. IEUX MOULIN;"VMGRAIUMG1

GRAPPA MOSCATO INVECCH. IEUX MOULIN

Alc 40% Vol      cl70
PRODUCTEUR VIEUX MOULIN";Grappa di Moscato;Invecchiato
aqd80w3d;6 X CANELLI MOSCATO Asti DOCG 2020 Az. Ghione Anna, Canelli;"GHIMOC020G1

6 X CANELLI MOSCATO Asti DOCG 2020 Az. Ghione Anna, Canelli
PRIX PAR BOUTEILLE Lt.0.75= 28.00 Chf 
6 x 28.00 = 168.00 chf


contient des sulfites
Alc 6.5% Vol      cl75
PRODUCTEUR: ANNA GHIONE

";Moscato d'Asti ;Canelli DOCG
